,ID,RELATED_ID,YEAR,MONTH,DAY,DPTOMPIO,MPIO_CNMBR,DEPARTMENT,REGION,MODALITY,RESPONSIBLE,RESPONSIBLE_DESCRIPTION,LAND_DISPOSSESSION,THREAT,MEDICAL_MISSION,CONFINEMENT,DISPLACEMENT,EXTORTION,INJURIES,PLUNDER,TORTURE,GENDER_VIOLENCE,SIMULTANEOUS_EVENT,VICTIMS,WEAPONS,LAT,LON
3891,439398,,2004,8,29,19533,PIAMONTE,CAUCA,MACIZO COLOMBIANO,UNKNOWN,UNIDENTIFIED ARMED GROUP,DO NOT APPLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.0,NOT AVAILABLE,1.117197782,-76.3257642468
3892,439399,,1991,7,25,52835,SAN ANDRES DE TUMACO,NARIÑO,ANDEN PACIFICO SUR,RETENTION/EXECUTION,UNIDENTIFIED ARMED GROUP,DO NOT APPLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,FIREARM,1.8071172501,-78.7638541478
3893,439400,,1993,3,23,13549,PINILLOS,BOLIVAR,SUR DE BOLIVAR,RETENTION/EXECUTION,GUERRILLA,ELN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,NOT AVAILABLE,8.9154522335,-74.4624035436
3894,439401,,1996,10,27,20750,SAN DIEGO,CESAR,SERRANIA DEL PERIJA,ROUTE,PARAMILITARY GROUP,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,6.0,FIREARM,10.2442918729,-73.144730081
3895,439402,,1999,11,25,20001,VALLEDUPAR,CESAR,SIERRA NEVADA DE SANTA MARTA,ROUTE,PARAMILITARY GROUP,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,,,5.0,FIREARM,10.4604812152,-73.259389309
3896,439404,CR042204,2003,4,27,25328,GUAYABAL DE SIQUIMA,CUNDINAMARCA,ALTIPLANO CUNDIBOYACENSE,ROUTE,PARAMILITARY GROUP,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,4.0,FIREARM,4.8779681344,-74.4674373333
3897,439405,,1998,4,14,50287,FUENTEDEORO,META,ARIARI GUAYABERO,ROUTE,PARAMILITARY GROUP,NOT IDENTIFIED,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,4.0,FIREARM,3.3705985125,-73.5146846138
3898,439408,,1999,6,16,05890,YOLOMBO,ANTIOQUIA,NORDESTE ANTIOQUEÑO,RETENTION/EXECUTION,PARAMILITARY GROUP,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,4.0,NOT AVAILABLE,6.6142089884,-75.1525182536
3899,439409,,2005,1,2,19318,GUAPI,CAUCA,ANDEN PACIFICO SUR,RETENTION/EXECUTION,GUERRILLA,ELN,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,,,4.0,NOT AVAILABLE,2.5729183657,-77.8880334723
3900,439411,,1999,10,9,05480,MUTATA,ANTIOQUIA,URABA,ASSAULT,UNIDENTIFIED ARMED GROUP,DO NOT APPLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,FIREARM,7.2428750572,-76.4358754017
